.HEADER
..NAMES
Time,V U2.N7
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1997
3.490e-10,1.1941
3.723e-10,1.1676
3.955e-10,1.1019
4.188e-10,0.9795
4.421e-10,0.8335
4.653e-10,0.6937
4.886e-10,0.5494
5.119e-10,0.3920
5.351e-10,0.2419
5.584e-10,0.1152
5.817e-10,0.0195
6.049e-10,-0.0458
6.282e-10,-0.0837
6.515e-10,-0.1059
6.747e-10,-0.1210
6.980e-10,-0.1353
7.213e-10,-0.1513
7.445e-10,-0.1699
7.678e-10,-0.1875
7.911e-10,-0.1953
8.143e-10,-0.1917
8.376e-10,-0.1824
8.609e-10,-0.1734
8.841e-10,-0.1610
9.074e-10,-0.1315
9.307e-10,-0.0808
9.539e-10,-0.0212
9.772e-10,0.0343
1.0005e-09,0.0804
1.0237e-09,0.1154
1.0470e-09,0.1378
1.0703e-09,0.1477
1.0935e-09,0.1460
1.1168e-09,0.1343
1.1401e-09,0.1161
1.1633e-09,0.0962
1.1866e-09,0.0780
1.2099e-09,0.0637
1.2332e-09,0.0562
1.2564e-09,0.0571
1.2797e-09,0.0621
1.3030e-09,0.0633
1.3262e-09,0.0556
1.3495e-09,0.0415
1.3728e-09,0.0269
1.3960e-09,0.0139
1.4193e-09,-0.0005
1.4426e-09,-0.0185
1.4658e-09,-0.0387
1.4891e-09,-0.0571
1.5124e-09,-0.0697
1.5356e-09,-0.0739
1.5589e-09,-0.0695
1.5822e-09,-0.0583
1.6054e-09,-0.0421
1.6287e-09,-0.0159
1.6520e-09,0.0379
1.6752e-09,0.1440
1.6985e-09,0.2827
1.7218e-09,0.4184
1.7450e-09,0.5547
1.7683e-09,0.7032
1.7916e-09,0.8484
1.8148e-09,0.9769
1.8381e-09,1.0838
1.8614e-09,1.1663
1.8846e-09,1.2219
1.9079e-09,1.2557
1.9312e-09,1.2768
1.9544e-09,1.2919
1.9777e-09,1.3059
2.0010e-09,1.3217
