.HEADER
..NAMES
Time,V U2.R3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1977
3.723e-10,1.1805
3.955e-10,1.1331
4.188e-10,1.0337
4.421e-10,0.9007
4.653e-10,0.7734
4.886e-10,0.6486
5.119e-10,0.5033
5.351e-10,0.3495
5.584e-10,0.2119
5.817e-10,0.0939
6.049e-10,-0.0003
6.282e-10,-0.0647
6.515e-10,-0.1041
6.747e-10,-0.1249
6.980e-10,-0.1365
7.213e-10,-0.1457
7.445e-10,-0.1573
7.678e-10,-0.1740
7.911e-10,-0.1896
8.143e-10,-0.1959
8.376e-10,-0.1952
8.609e-10,-0.1956
8.841e-10,-0.2005
9.074e-10,-0.2026
9.307e-10,-0.1876
9.539e-10,-0.1500
9.772e-10,-0.1015
1.0005e-09,-0.0531
1.0237e-09,-0.0045
1.0470e-09,0.0417
1.0703e-09,0.0793
1.0935e-09,0.1072
1.1168e-09,0.1259
1.1401e-09,0.1344
1.1633e-09,0.1326
1.1866e-09,0.1215
1.2099e-09,0.1028
1.2332e-09,0.0801
1.2564e-09,0.0600
1.2797e-09,0.0502
1.3030e-09,0.0515
1.3262e-09,0.0566
1.3495e-09,0.0582
1.3728e-09,0.0554
1.3960e-09,0.0518
1.4193e-09,0.0498
1.4426e-09,0.0471
1.4658e-09,0.0392
1.4891e-09,0.0253
1.5124e-09,0.0072
1.5356e-09,-0.0136
1.5589e-09,-0.0348
1.5822e-09,-0.0523
1.6054e-09,-0.0626
1.6287e-09,-0.0651
1.6520e-09,-0.0609
1.6752e-09,-0.0530
1.6985e-09,-0.0441
1.7218e-09,-0.0344
1.7450e-09,-0.0227
1.7683e-09,-0.0092
1.7916e-09,0.0024
1.8148e-09,0.0073
1.8381e-09,0.0049
1.8614e-09,-0.0014
1.8846e-09,-0.0077
1.9079e-09,-0.0115
1.9312e-09,-0.0126
1.9544e-09,-0.0113
1.9777e-09,-0.0081
2.0010e-09,-0.0034
