.HEADER
..NAMES
Time,V U2.F7
.DATA
9.3653e-09,0.0157
9.3749e-09,0.0147
9.3846e-09,0.0139
9.3942e-09,0.0130
9.4039e-09,0.0121
9.4135e-09,0.0109
9.4232e-09,0.0095
9.4328e-09,0.0077
9.4425e-09,0.0057
9.4521e-09,0.0037
9.4617e-09,0.0018
9.4714e-09,0.0001
9.4810e-09,-0.0011
9.4907e-09,-0.0017
9.5003e-09,-0.0016
9.5100e-09,-0.0009
9.5196e-09,0.0002
9.5293e-09,0.0014
9.5389e-09,0.0024
9.5486e-09,0.0029
9.5582e-09,0.0030
9.5678e-09,0.0025
9.5775e-09,0.0016
9.5871e-09,0.0003
9.5968e-09,-0.0011
9.6064e-09,-0.0024
9.6161e-09,-0.0034
9.6257e-09,-0.0040
9.6354e-09,-0.0041
9.6450e-09,-0.0040
9.6546e-09,-0.0037
9.6643e-09,-0.0035
9.6739e-09,-0.0034
9.6836e-09,-0.0034
9.6932e-09,-0.0036
9.7029e-09,-0.0039
9.7125e-09,-0.0044
9.7222e-09,-0.0048
9.7318e-09,-0.0053
9.7415e-09,-0.0056
9.7511e-09,-0.0058
9.7607e-09,-0.0060
9.7704e-09,-0.0062
9.7800e-09,-0.0066
9.7897e-09,-0.0071
9.7993e-09,-0.0077
9.8090e-09,-0.0082
9.8186e-09,-0.0085
9.8283e-09,-0.0086
9.8379e-09,-0.0083
9.8475e-09,-0.0076
9.8572e-09,-0.0067
9.8668e-09,-0.0056
9.8765e-09,-0.0044
9.8861e-09,-0.0034
9.8958e-09,-0.0025
9.9054e-09,-0.0021
9.9151e-09,-0.0020
9.9247e-09,-0.0023
9.9344e-09,-0.0028
9.9440e-09,-0.0033
9.9536e-09,-0.0037
9.9633e-09,-0.0038
9.9729e-09,-0.0037
9.9826e-09,-0.0033
9.9922e-09,-0.0027
1.00019e-08,-0.0019
1.00115e-08,-0.0012
1.00212e-08,-0.0006
1.00308e-08,-0.0002
1.00404e-08,0.0001
1.00501e-08,0.0002
1.00597e-08,0.0001
1.00694e-08,0.0001
1.00790e-08,0.0001
1.00887e-08,0.0002
1.00983e-08,0.0003
1.01080e-08,0.0004
1.01176e-08,0.0006
1.01273e-08,0.0006
1.01369e-08,0.0006
1.01465e-08,0.0004
1.01562e-08,0.0003
1.01658e-08,0.0001
1.01755e-08,0.0001
1.01851e-08,0.0002
1.01948e-08,0.0004
1.02044e-08,0.0009
1.02141e-08,0.0015
