.HEADER
..NAMES
Time,V U1.K1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1687
1.861e-10,1.1124
2.094e-10,0.9544
2.327e-10,0.7978
2.559e-10,0.6857
2.792e-10,0.6088
3.025e-10,0.5573
3.257e-10,0.5311
3.490e-10,0.5193
3.723e-10,0.5144
3.955e-10,0.5121
4.188e-10,0.5110
4.421e-10,0.5096
4.653e-10,0.5081
4.886e-10,0.5057
5.119e-10,0.5028
5.351e-10,0.5002
5.584e-10,0.4981
5.817e-10,0.4978
6.049e-10,0.4998
6.282e-10,0.5026
6.515e-10,0.5040
6.747e-10,0.5016
6.980e-10,0.4956
7.213e-10,0.4850
7.445e-10,0.4656
7.678e-10,0.4307
7.911e-10,0.3792
8.143e-10,0.3167
8.376e-10,0.2496
8.609e-10,0.1819
8.841e-10,0.1186
9.074e-10,0.0650
9.307e-10,0.0232
9.539e-10,-0.0075
9.772e-10,-0.0294
1.0005e-09,-0.0444
1.0237e-09,-0.0542
1.0470e-09,-0.0599
1.0703e-09,-0.0624
1.0935e-09,-0.0630
1.1168e-09,-0.0631
1.1401e-09,-0.0642
1.1633e-09,-0.0668
1.1866e-09,-0.0700
1.2099e-09,-0.0725
1.2332e-09,-0.0742
1.2564e-09,-0.0756
1.2797e-09,-0.0762
1.3030e-09,-0.0735
1.3262e-09,-0.0647
1.3495e-09,-0.0494
1.3728e-09,-0.0293
1.3960e-09,-0.0066
1.4193e-09,0.0242
1.4426e-09,0.0797
1.4658e-09,0.2144
1.4891e-09,0.3851
1.5124e-09,0.5105
1.5356e-09,0.6000
1.5589e-09,0.6589
1.5822e-09,0.6867
1.6054e-09,0.6951
1.6287e-09,0.6920
1.6520e-09,0.6864
1.6752e-09,0.6804
1.6985e-09,0.6765
1.7218e-09,0.6752
1.7450e-09,0.6765
1.7683e-09,0.6795
1.7916e-09,0.6830
1.8148e-09,0.6869
1.8381e-09,0.6902
1.8614e-09,0.6895
1.8846e-09,0.6839
1.9079e-09,0.6759
1.9312e-09,0.6691
1.9544e-09,0.6638
1.9777e-09,0.6605
2.0010e-09,0.6646
2.0242e-09,0.6857
